Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
CLU,0.860545048807887,3.6029281649655e-29,6.86970313213972e-25,2.596186,1.735641,1,0.989474
COL3A1,-0.579237823399861,5.13088674541267e-27,4.89153087873917e-23,2.830775,3.410013,0.97479,1
SLC40A1,0.673533239240548,1.01487315177262e-23,6.4501954616162e-20,1.885815,1.212282,0.983193,0.947368
COL1A2,-0.524348459835339,2.04544583441615e-20,9.75012893120317e-17,1.772438,2.296787,0.957983,1
TMSB10,-0.309810368803491,2.46001515936785e-19,8.49078099926827e-16,3.131659,3.441469,1,1
SLC16A3,-0.511239035199317,2.67187737953583e-19,8.49078099926827e-16,0.650318,1.161557,0.663866,0.940351
NNMT,0.612248367208235,6.18089293161847e-18,1.61753819282734e-14,1.950785,1.338537,0.983193,0.933333
TMSB4X,-0.295304292566068,6.78675488677752e-18,1.61753819282734e-14,3.290883,3.586187,1,1
SPARC,-0.370884815995956,2.61834240009655e-17,5.54710383807122e-14,2.589168,2.960053,0.991597,1
RIMKLB,-0.4361654935132,4.63254016813127e-17,8.8328643385759e-14,1.954338,2.390504,0.966387,1
TXN,-0.40866521658947,5.28106685393966e-17,9.15400924582432e-14,1.656759,2.065424,0.92437,1
KRT19,-0.456930540803257,9.40133016101711e-17,1.49379301816761e-13,0.731623,1.188554,0.714286,0.94386
RPS27,0.267058564329088,1.25056661062624e-16,1.83419642806235e-13,3.833222,3.566164,1,1
TUBA1A,-0.458841743092962,2.60836708589493e-16,3.55240965905419e-13,0.962498,1.421339,0.831933,0.97193
SCGB1D4,0.413912259014363,2.80789400994107e-15,3.56920767250309e-12,0.546322,0.132409,0.436975,0.252632
CD248,-0.480094222723338,3.01284878295651e-15,3.59037423403949e-12,0.75472,1.234814,0.764706,0.947368
VCAN,-0.46691623802261,7.83792908724251e-15,8.58999342513914e-12,0.8217,1.288616,0.773109,0.978947
COL1A1,-0.38072721997528,8.10929258155475e-15,8.58999342513914e-12,2.467428,2.848155,0.97479,1
APOL1,-0.421189613806608,1.12038352926132e-14,1.12433435539082e-11,1.282637,1.703827,0.882353,0.992982
LTF,0.373433937814917,1.75014379736311e-14,1.66849958921612e-11,0.466976,0.093542,0.403361,0.161404
RPLP1,0.178304965338247,2.59092665049256e-14,2.3524380211877e-11,3.953853,3.775548,1,1
ANXA2,-0.411194670706502,1.20586135947448e-13,1.04509811550454e-10,2.057125,2.46832,0.957983,0.996491
C3,0.472558778836351,1.6748276077397e-13,1.38843208681621e-10,1.781425,1.308867,0.941176,0.964912
CD59,0.306697034104709,3.02746942242148e-13,2.4051983115546e-10,1.941801,1.635104,0.983193,0.992982
S100A10,-0.376695693396861,3.28848933125165e-13,2.50806504315901e-10,1.268662,1.645358,0.89916,0.992982
S100P,-0.46694568154182,3.66873163159002e-13,2.69045023152027e-10,0.261556,0.728501,0.361345,0.712281
F11R,-0.347243960174719,3.90230475154296e-13,2.75574980361739e-10,0.362606,0.70985,0.487395,0.82807
SMIM37,0.470690076437811,6.10193284815362e-13,4.05258403780283e-10,1.770534,1.299844,0.966387,0.97193
APCDD1,-0.44542640309567,6.16378754372907e-13,4.05258403780283e-10,0.896335,1.341761,0.815126,0.978947
SCGB2A2,0.555906574549127,7.59147775688808e-13,4.63360682373698e-10,1.355877,0.799971,0.890756,0.775439
ISLR,-0.402120071077491,7.76139617449314e-13,4.63360682373698e-10,1.47101,1.87313,0.89916,1
PABPC1,0.310496852311981,7.77654682748116e-13,4.63360682373698e-10,2.219984,1.909487,1,0.996491
IGFBP2,-0.418670142440338,1.12385637428052e-12,6.49350590557781e-10,1.445353,1.864023,0.89916,0.996491
RHEX,-0.405856397377605,1.23575481394517e-12,6.93004030514486e-10,1.156803,1.562659,0.857143,0.985965
ADAMTS9,-0.398816791744898,1.5662250569434e-12,8.53234661735423e-10,0.49084,0.889656,0.596639,0.887719
PIGR,0.46946411145818,1.66206331827546e-12,8.80293369154393e-10,2.958586,2.489122,1,1
PTGDS,-0.397458920648591,2.43058056923054e-12,1.25253728955456e-09,1.516317,1.913776,0.941176,1
TUBB4B,-0.381068372073539,2.69120803290722e-12,1.35034904114321e-09,0.98781,1.368879,0.823529,0.97193
C2CD4A,-0.415250915536728,3.01836351325161e-12,1.47567018223509e-09,1.072836,1.488087,0.865546,0.968421
C4BPA,0.450497466255462,3.912135290274e-12,1.86481708949136e-09,1.769889,1.319391,0.97479,0.94386
COL18A1,-0.348844421957333,4.39042267985141e-12,2.0417607130909e-09,1.498487,1.847331,0.907563,1
IFI6,-0.383688874716044,8.12462692034853e-12,3.68838717834013e-09,0.585426,0.969115,0.672269,0.891228
SOX9,0.331519858469465,1.26623730666173e-11,5.61473179677192e-09,0.556112,0.224592,0.546218,0.403509
RPS29,0.219751043683851,1.35293164273473e-11,5.85071013136169e-09,3.115476,2.895725,1,1
TUBA1B,-0.357069931196529,1.38082527881301e-11,5.85071013136169e-09,1.047231,1.404301,0.87395,0.964912
PAX8,-0.388787261969251,1.88886574684187e-11,7.82934852065956e-09,1.15868,1.547467,0.857143,0.989474
S100A16,-0.346405556763271,2.16627520501469e-11,8.78816368808832e-09,0.675878,1.022283,0.739496,0.929825
CCHCR1,-0.309996245783655,2.43317081876339e-11,9.66526416695034e-09,0.291213,0.601209,0.453782,0.768421
GNAS,-0.225277078736941,2.63300207358103e-11,1.02456021504019e-08,2.19125,2.416527,0.991597,1
DKK1,-0.340134432695263,3.21571169829985e-11,1.22627949902967e-08,0.441732,0.781866,0.537815,0.863158
UCA1,-0.356682987986771,6.00714046410736e-11,2.24584602410069e-08,2.02265,2.379333,0.983193,0.996491
RPL37A,0.176050727704488,6.74260007835383e-11,2.47232991719178e-08,3.650167,3.474117,1,1
SLC30A2,-0.274653830517539,1.10629949401772e-10,3.97996461366713e-08,0.070257,0.344911,0.142857,0.480702
MMP2,-0.325569487591679,1.36089225100937e-10,4.80520973148067e-08,1.596678,1.922247,0.941176,0.996491
MT1G,-0.504316768742196,1.87943067152103e-10,6.5154735661621e-08,0.139552,0.643869,0.243697,0.603509
CD24,-0.349774115210028,2.4948706783272e-10,8.49458914708298e-08,1.89704,2.246814,0.97479,0.996491
KLF5,-0.351066216112464,3.89488246728844e-10,1.30287235094366e-07,0.862439,1.213505,0.781513,0.94386
GJA1,-0.339959295280524,5.47122224371847e-10,1.79861714691345e-07,0.933064,1.273023,0.831933,0.975439
MUC16,-0.289367338898575,5.68608462136702e-10,1.81413021707803e-07,0.146752,0.436119,0.226891,0.6
CLIC6,0.206831801693805,5.70870157993821e-10,1.81413021707803e-07,0.295325,0.088494,0.369748,0.185965
S100A6,-0.184833521887243,7.18381241419881e-10,2.24547133281195e-07,3.362375,3.547209,1,1
COL5A2,-0.328741190117332,7.59568341638661e-10,2.33591767258457e-07,0.786088,1.114829,0.739496,0.954386
PERP,-0.346417082138121,9.25961283038381e-10,2.80242917201473e-07,1.445128,1.791545,0.932773,0.985965
ANXA4,-0.36581238749613,1.24115408847692e-09,3.69766953202959e-07,1.079778,1.44559,0.857143,0.964912
LAMB3,-0.291895729888597,1.34056211536928e-09,3.93238428519171e-07,0.21248,0.504376,0.310924,0.670175
HOXB3,-0.280851155394704,1.36246248575002e-09,3.93607154784783e-07,0.389056,0.669907,0.470588,0.845614
RHOA,-0.260773219345908,1.57501898882864e-09,4.48222194925308e-07,1.539913,1.800686,0.957983,1
SLC44A1,-0.320242860580674,1.83936634237079e-09,5.15752912499763e-07,0.734451,1.054694,0.773109,0.922807
MUC6,0.289918083659442,1.96640044931774e-09,5.39438337569486e-07,0.456627,0.166709,0.436975,0.273684
HSPG2,-0.309751022845332,1.98042081239125e-09,5.39438337569486e-07,1.20506,1.514811,0.890756,0.992982
SERPINA1,0.287606997680527,2.17288496189098e-09,5.83526726315144e-07,0.543758,0.256151,0.596639,0.445614
SHROOM3,-0.30737174473715,2.21900792897796e-09,5.8763644696976e-07,0.506205,0.813577,0.605042,0.863158
SLC18A2,-0.310854486437228,2.70394268080072e-09,7.06247604038729e-07,0.406581,0.717436,0.554622,0.789474
DYNLT1,-0.316053855123026,2.85679168549288e-09,7.31708154260651e-07,0.696808,1.012862,0.739496,0.912281
AZGP1,0.195957602109948,2.8781723170687e-09,7.31708154260651e-07,0.255801,0.059844,0.294118,0.115789
VAT1,-0.306741624589024,3.14766178198672e-09,7.89690357857116e-07,0.712993,1.019735,0.747899,0.929825
CYBA,-0.309689146083451,3.19123844525872e-09,7.90225239425298e-07,0.835405,1.145094,0.756303,0.961404
CAPRIN1,-0.31030092417236,4.43371913309066e-09,1.08381695782871e-06,0.764795,1.075095,0.756303,0.940351
KRT8,-0.310009992926694,4.87397204443044e-09,1.17278186083614e-06,0.432272,0.742282,0.512605,0.807018
CAPZA2,-0.321172370179359,4.92067702663719e-09,1.17278186083614e-06,0.898416,1.219588,0.823529,0.936842
CITED4,-0.320118689033532,5.82948373249565e-09,1.37223168305549e-06,0.468702,0.788821,0.563025,0.824561
GALNT15,0.230701981983792,6.36959542052735e-09,1.48108629125847e-06,0.455441,0.224739,0.588235,0.407018
UBE2D2,-0.315184510451896,6.55629568485632e-09,1.50613120268862e-06,0.931307,1.246492,0.806723,0.94386
MFSD4A,-0.325780326045405,7.11127931369121e-09,1.61417574612084e-06,0.65892,0.984701,0.672269,0.898246
