Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
SCGB2A1,-1.09189599416698,1.15614320264851e-52,2.20441824448991e-48,2.848214,3.94011,1,1
MT1G,1.16385326712148,1.6620990914093e-41,1.58456216879506e-37,1.448873,0.28502,0.821918,0.425982
DEPP1,-0.751565861774977,3.47477649019736e-34,1.91075542282038e-30,1.799517,2.551083,1,0.993958
FTH1,-0.573404568362463,4.0085077313062e-34,1.91075542282038e-30,3.389672,3.963077,1,1
ACE,-0.884645163115001,7.48620531284678e-32,2.85478953400099e-28,0.773644,1.658289,0.794521,0.966767
SAT1,-0.598668067279553,2.79101118566398e-31,8.59940544656209e-28,2.985965,3.584633,1,1
PSAT1,0.455086830629866,3.15706918371714e-31,8.59940544656209e-28,0.511978,0.056891,0.561644,0.114804
LGALS1,0.391202093093291,2.75615820590357e-29,6.56895856399541e-26,3.093539,2.702337,1,1
SLC30A2,0.534039621990712,9.69299299004027e-29,2.05351441490109e-25,0.701553,0.167513,0.739726,0.302115
C4BPA,-0.816716094814631,1.12106875054043e-28,2.13754178665543e-25,0.782946,1.599662,0.835616,0.978852
PTGS1,0.614266994147439,1.75982863200537e-28,3.05042295694966e-25,0.753671,0.139404,0.616438,0.250755
APCDD1,0.756123438316561,9.3387433107154e-27,1.48384848921175e-23,1.830056,1.073932,0.986301,0.918429
MT1H,0.446410411627256,4.20051940931729e-25,6.1608695059579e-22,0.502019,0.055609,0.479452,0.111782
SPP1,0.940108200214422,2.62632931113066e-24,3.57687292680917e-21,1.8012,0.861092,0.986301,0.794562
MUC16,0.532210725632467,1.75777703947577e-23,2.23436898744564e-20,0.786929,0.254718,0.753425,0.432024
CLDN4,-0.642727201394338,1.02853157814951e-22,1.22568822503604e-19,1.508252,2.150979,0.972603,0.993958
SLC3A1,0.353651012958752,2.42140207632572e-22,2.71581608172368e-19,0.419969,0.066318,0.479452,0.154079
SRD5A3,-0.719172878805947,4.74797046298048e-22,5.02941960098049e-19,0.435068,1.154241,0.575342,0.900302
LEFTY1,0.31723015305013,6.21720464747751e-22,6.23912847439229e-19,0.349324,0.032094,0.39726,0.072508
MT1E,0.667674827025841,8.48657472852742e-22,8.09067601744162e-19,1.049107,0.381432,0.794521,0.561934
ACSL5,-0.71176829822375,1.03713057973126e-21,9.41665179225517e-19,0.88166,1.593428,0.835616,0.975831
IL6ST,-0.562301276979599,1.39058176109315e-21,1.20519192903468e-18,2.030311,2.592613,0.986301,0.996979
LAMB3,0.520797396350745,4.43440959797733e-21,3.67612555672321e-18,0.845089,0.324292,0.808219,0.510574
SPARC,0.476388523936133,2.19776707166557e-20,1.74603436481031e-17,3.241115,2.764727,1,0.996979
MT1F,0.521829450021431,9.46936921045482e-20,7.22209850942968e-17,0.69407,0.172241,0.630137,0.253776
COL3A1,0.589339899211637,1.31232020670743e-19,9.6238497620348e-17,3.722246,3.132906,1,0.990937
G0S2,0.401389550263334,1.87817969077196e-19,1.32634267273885e-16,0.533383,0.131993,0.561644,0.253776
SLC40A1,-0.723897635635789,2.23073834316907e-19,1.5190531424716e-16,0.81758,1.541478,0.808219,0.990937
ANG,-0.622781176892295,2.11688854318009e-18,1.39181771906258e-15,0.479203,1.101984,0.589041,0.906344
HSPB1,0.407897687933186,2.62737273078352e-18,1.66987052859498e-15,2.598996,2.191098,1,0.993958
