Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
FTH1,0.436460788262148,3.45591384250867e-33,6.58939092351128e-29,4.066894,3.630433,1,1
DYNLT3,0.612348883017407,1.46537455919746e-28,1.3970148360109e-24,1.746171,1.133822,0.985849,0.890625
UCA1,0.495376643795029,4.23991694243311e-25,2.69474987804574e-21,2.509697,2.014321,1,0.984375
SGK1,0.500103550178215,1.20800079243309e-24,5.75823777733041e-21,2.511878,2.011775,1,0.973958
C2CD4B,0.479684483880799,3.74661057348893e-24,1.42873247609427e-20,2.302742,1.823058,1,0.979167
GPX3,-0.687974521058535,1.42874185839214e-23,4.54030350232716e-20,1.379603,2.067577,0.981132,0.984375
KLF6,0.534004901717388,2.22691784706776e-23,6.06580608429156e-20,1.902876,1.368871,0.995283,0.947917
S100P,0.557716181132732,1.76314013276655e-22,4.20222411393248e-19,0.856014,0.298298,0.811321,0.385417
PLA2G16,0.505888840989005,4.25068201130526e-22,9.00530598995082e-19,1.138781,0.632892,0.948113,0.635417
TUBA1A,0.470665672211176,1.24051019631123e-20,2.36528079130661e-17,1.509868,1.039203,0.981132,0.875
C2CD4A,0.493240561725795,1.58486420013896e-20,2.74714597309542e-17,1.600185,1.106944,0.985849,0.885417
ELF3,0.499756680590645,1.81866401723977e-20,2.88970556805922e-17,1.848547,1.348791,0.990566,0.90625
MFSD4A,0.455595795680188,6.18056135217837e-20,9.06498179246038e-17,1.105261,0.649666,0.962264,0.6875
RASD1,0.449222091269099,1.53898308151373e-19,2.09598502965874e-16,2.146572,1.69735,1,0.958333
PAEP,0.429182453842471,6.04965809714793e-19,7.68992206255464e-16,4.01776,3.588578,1,1
DEPP1,0.439413025354347,6.9028322562054e-19,7.7438839317088e-16,2.62411,2.184697,1,0.989583
ANXA2,0.442839226416027,6.90439119101325e-19,7.7438839317088e-16,2.557659,2.11482,1,0.96875
SERINC2,0.460805476473283,1.05125033765488e-18,1.1135661215592e-15,1.516368,1.055563,0.990566,0.854167
SAT1,0.359479173244734,2.02304541889587e-18,2.03017931589935e-15,3.647299,3.28782,1,1
TMSB10,0.268753975254934,1.89296578185882e-17,1.7806122741366e-14,3.477938,3.209184,1,1
CLDN4,0.435138594265439,1.96112958288501e-17,1.7806122741366e-14,2.241642,1.806503,1,0.979167
MGAT4B,0.400769520167307,8.99878154448653e-17,7.70007809571939e-14,1.066252,0.665483,0.962264,0.6875
SLC44A4,0.42683963097468,9.28839336033702e-17,7.70007809571939e-14,1.378072,0.951233,0.990566,0.833333
RIMKLB,0.392875159598603,1.2875856238893e-16,1.02293312877905e-13,2.448742,2.055867,1,0.979167
RPLP1,-0.174726547427334,1.94824085997772e-16,1.48588433908781e-13,3.74503,3.919756,1,1
