sampleID	laneID	genotype0	genotype1	genotype2	genotype3
organoids7090723	1	A			
organoids7090724	2	D			
organoids7090725	3	A			
organoids7090726	4	A			
organoids7090727	5	D			
organoids7090728	6	D			
organoids7090729	7	A			
organoids7090730	8	A			
organoids7090731	9	D			
organoids7090732	10	D			
WSSS_END9263313	12	B19	B44	U1	U2
WSSS_END9263314	12	B19	U1	U2	B44
WSSS_END9263315	12	U1	B44	B19	U2
WSSS_END9263316	12	B44	B19	U2	U1
WSSS_END9263317	12	B44	U2	B19	U1
WSSS_END9397520	13	U1	U2	B44	
WSSS_END9397521	13	U1	U2	B44	
WSSS_END9397522	13	U1	U2	B44	
WSSS_END9397523	13	U1	U2	B44	
WSSS_END9397524	13	U2	U1	B44	
WSSS_END9397525	13	U1	U2	B44	
WSSS_END9397526	13	U2	B44	U1	
WSSS_END9397527	13	B44	U1	U2	
WSSS_END9397528	13	B44	U2	U1	
WSSS_END9397529	13	B44	U1	U2	
WSSS_END9397530	13	B44	U2	U1	
WSSS_END9397531	13	U1	B44	U2	
WSSS_END9397532	13	B44	U1	U2	
WSSS_END9397533	13	U1	B44	U2	
WSSS_END9397534	13	B44	U1	U2	
WSSS_END9397535	13	U2	U1	B44	
